,receita_liquida,resultado_bruto,ebit,amortizacao,ebitda,lucro_liquido,lucro_por_acao,datas,tic
0,22100.0,11120.0,5350.0,-1660.0,7020.0,3460.0,0.22,30/09/2024,ABEV3
1,20040.0,9980.0,4050.0,-1620.0,5660.0,2400.0,0.15,30/06/2024,ABEV3
2,20280.0,10220.0,4880.0,-1570.0,6450.0,3700.0,0.23,31/03/2024,ABEV3
3,19990.0,10690.0,5430.0,-1400.0,6820.0,4390.0,0.28,31/12/2023,ABEV3
4,20320.0,10090.0,4900.0,-1590.0,6480.0,3910.0,0.25,30/09/2023,ABEV3
5,18900.0,9260.0,3450.0,-1580.0,5020.0,2500.0,0.16,30/06/2023,ABEV3
6,20530.0,10400.0,4880.0,-1460.0,6330.0,3700.0,0.23,31/03/2023,ABEV3
7,22690.0,11710.0,5410.0,-1480.0,6890.0,4970.0,0.32,31/12/2022,ABEV3
8,20590.0,9940.0,4050.0,-1440.0,5490.0,3110.0,0.20,30/09/2022,ABEV3
9,17990.0,8610.0,4030.0000000000005,-1280.0,5320.0,2970.0,0.19,30/06/2022,ABEV3
10,18440.0,9020.0,4160.0,-1270.0,5430.0,3410.0,0.22,31/03/2022,ABEV3
11,22010.0,11510.0,5090.0,-1360.0,6450.0,3610.0,0.23,31/12/2021,ABEV3
12,18490.0,9240.0,4000.0,-1320.0,5320.0,3550.0,0.23,30/09/2021,ABEV3
13,15710.0,7750.0,3890.0,-1220.0,5120.0,2890.0,0.18,30/06/2021,ABEV3
14,16640.0,8690.0,3980.0,-1210.0,5190.0,2630.0,0.17,31/03/2021,ABEV3
15,18560.0,10360.0,7420.0,-1300.0,8720.0,6790.0,0.43,31/12/2020,ABEV3
16,15600.0,8180.0,3580.0,-1260.0,4830.0,2270.0,0.14,30/09/2020,ABEV3
17,11620.0,5810.0,1900.0,-1270.0,3170.0,1230.0,0.08,30/06/2020,ABEV3
18,12600.0,6960.0,3030.0,-1150.0,4180.0,1090.0,0.07,31/03/2020,ABEV3
19,15860.0,9480.0,5320.0,-1220.0,6540.0,4100.0,0.26,31/12/2019,ABEV3
20,11960.0,6730.0,3130.0,-1220.0,4350.0,2500.0,0.16,30/09/2019,ABEV3
21,12150.0,7180.0,3550.0,-1060.0,4610.0,2520.0,0.16,30/06/2019,ABEV3
22,12640.0,7530.0,4050.0,-1030.0,5080.0,2660.0,0.17,31/03/2019,ABEV3
23,16020.0,9970.0,6210.0,-1060.0,7270.0,3360.0,0.21,31/12/2018,ABEV3
24,11060.0,6690.0,3370.0,-1050.0,4410.0,2830.0,0.18,30/09/2018,ABEV3
25,11510.0,7120.0,3650.0,-894.99,4550.0,2320.0,0.15,30/06/2018,ABEV3
26,11640.0,7180.0,3760.0,-839.49,4600.0,2520.0,0.16,31/03/2018,ABEV3
27,15030.0,10040.0,6270.0,-950.52,7220.0,3120.0,0.20,31/12/2017,ABEV3
28,11360.0,6880.0,3610.0,-885.9,4500.0,,0.00,30/09/2017,ABEV3
29,10270.0,6220.0,3040.0,-853.82,3900.0,2009.9999999999998,0.13,30/06/2017,ABEV3
30,11240.0,6720.0,3500.0,-795.79,4300.0,2200.0,0.14,31/03/2017,ABEV3
31,13180.0,8570.0,6270.0,-868.79,7140.0,4670.0,0.30,31/12/2016,ABEV3
