,caixa_equivalentes_caixa,ativo_total,divida_curto_prazo,divida_longo_prazo,divida_bruta,divida_liquida,patrimonio_liquido,valor_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,total,datas,tic
0,167.7,2640.0,240.38,494.59,734.97,567.27,1150.0,9.70,118.292.816,0,118.292.816,30/09/2024,AALR3
1,254.48,2690.0,273.79,567.38,841.17,586.69,1090.0,9.21,118.292.816,0,118.292.816,30/06/2024,AALR3
2,97.79,2570.0,255.89,611.85,867.74,769.95,969.19,8.19,118.292.816,0,118.292.816,31/03/2024,AALR3
3,218.6,2670.0,375.98,669.31,1050.0,826.69,917.46,7.76,118.292.816,0,118.292.816,31/12/2023,AALR3
4,294.61,2750.0,516.89,534.5,1050.0,756.77,1020.0,8.58,118.292.816,0,118.292.816,30/09/2023,AALR3
5,95.52,2520.0,407.44,583.71,991.15,895.63,865.38,7.32,118.292.816,0,118.292.816,30/06/2023,AALR3
6,154.61,2570.0,405.23,609.61,1010.0,860.23,906.95,7.67,118.292.816,0,118.292.816,31/03/2023,AALR3
7,218.74,2620.0,424.49,610.47,1030.0,816.21,949.7,8.03,118.292.816,0,118.292.816,31/12/2022,AALR3
8,247.83,2630.0,314.72,595.44,910.16,662.33,1070.0,9.07,118.292.816,0,118.292.816,30/09/2022,AALR3
9,240.19,2570.0,307.01,501.79,808.8,568.61,1150.0,9.68,118.292.816,0,118.292.816,30/06/2022,AALR3
10,81.63,2540.0,284.61,476.95,761.56,679.93,1160.0,9.80,118.292.816,0,118.292.816,31/03/2022,AALR3
11,127.31,2540.0,366.56,411.43,777.99,650.68,1180.0,9.94,118.292.816,0,118.292.816,31/12/2021,AALR3
12,152.4,2600.0,355.11,412.42,767.53,615.13,1210.0,10.19,118.292.816,0,118.292.816,30/09/2021,AALR3
13,217.48,2630.0,237.11,549.07,786.18,568.7,1210.0,10.25,118.292.816,0,118.292.816,30/06/2021,AALR3
14,228.65,2570.0,276.5,515.15,791.65,563.0,1200.0,10.15,118.292.816,0,118.292.816,31/03/2021,AALR3
15,229.09,2540.0,262.98,530.86,793.84,564.75,1190.0,10.06,118.292.816,0,118.292.816,31/12/2020,AALR3
16,212.85,2550.0,390.22,411.89,802.1,589.25,1180.0,9.95,118.292.816,0,118.292.816,30/09/2020,AALR3
17,325.32,2620.0,547.7,354.04,901.73,576.41,1180.0,9.97,118.292.816,0,118.292.816,30/06/2020,AALR3
18,256.04,2620.0,458.08,365.48,823.56,567.52,1260.0,10.68,118.292.816,0,118.292.816,31/03/2020,AALR3
19,88.3,2400.0,249.78,364.99,614.77,526.47,1280.0,10.84,118.292.816,0,118.292.816,31/12/2019,AALR3
20,97.43,2470.0,267.26,375.05,642.31,544.88,1290.0,10.89,118.292.816,0,118.292.816,30/09/2019,AALR3
21,61.19,2420.0,257.87,341.65,599.53,538.34,1270.0,10.76,118.292.816,0,118.292.816,30/06/2019,AALR3
22,64.27,2430.0,238.73,369.53,608.26,544.0,1260.0,10.69,118.292.816,0,118.292.816,31/03/2019,AALR3
23,73.17,2210.0,232.56,372.95,605.51,532.35,1260.0,10.63,118.292.816,0,118.292.816,31/12/2018,AALR3
24,46.97,2260.0,223.49,395.15,618.64,571.67,1250.0,10.56,118.292.816,0,118.292.816,30/09/2018,AALR3
25,63.46,2260.0,206.5,402.71,609.21,545.75,1240.0,10.45,118.292.816,0,118.292.816,30/06/2018,AALR3
26,68.52,2270.0,201.43,429.91,631.34,562.81,1230.0,10.40,118.292.816,0,118.292.816,31/03/2018,AALR3
